	crunogenapep	magnificapep	okutaniipep
Number of genes	2196	976	937
Number of genes in orthogroups	1333	927	896
Number of unassigned genes	863	49	41
Percentage of genes in orthogroups	60.7	95.0	95.6
Percentage of unassigned genes	39.3	5.0	4.4
Number of orthogroups containing species	870	879	853
Percentage of orthogroups containing species	85.1	86.0	83.5
Number of species-specific orthogroups	115	0	0
Number of genes in species-specific orthogroups	367	0	0
Percentage of genes in species-specific orthogroups	16.7	0.0	0.0


Number of genes per-species in orthogroup	Number of orthogroups	Number of orthogroups	Number of orthogroups
'0	152	143	169
'1	636	838	816
'2	168	37	34
'3	35	3	2
'4	11	0	0
'5	6	0	0
'6	5	1	1
'7	3	0	0
'8	1	0	0
'9	0	0	0
'10	0	0	0
11-15	2	0	0
16-20	0	0	0
21-50	3	0	0
51-100	0	0	0
101-150	0	0	0
151-200	0	0	0
201-500	0	0	0
501-1000	0	0	0
'1001+	0	0	0

Number of genes per-species in orthogroup	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups
'0	14.9	14.0	16.5
'1	62.2	82.0	79.8
'2	16.4	3.6	3.3
'3	3.4	0.3	0.2
'4	1.1	0.0	0.0
'5	0.6	0.0	0.0
'6	0.5	0.1	0.1
'7	0.3	0.0	0.0
'8	0.1	0.0	0.0
'9	0.0	0.0	0.0
'10	0.0	0.0	0.0
11-15	0.2	0.0	0.0
16-20	0.0	0.0	0.0
21-50	0.3	0.0	0.0
51-100	0.0	0.0	0.0
101-150	0.0	0.0	0.0
151-200	0.0	0.0	0.0
201-500	0.0	0.0	0.0
501-1000	0.0	0.0	0.0
'1001+	0.0	0.0	0.0

Number of genes per-species in orthogroup	Number of genes	Number of genes	Number of genes
'0	0	0	0
'1	636	838	816
'2	336	74	68
'3	105	9	6
'4	44	0	0
'5	30	0	0
'6	30	6	6
'7	21	0	0
'8	8	0	0
'9	0	0	0
'10	0	0	0
11-15	25	0	0
16-20	0	0	0
21-50	98	0	0
51-100	0	0	0
101-150	0	0	0
151-200	0	0	0
201-500	0	0	0
501-1000	0	0	0
'1001+	0	0	0

Number of genes per-species in orthogroup	Percentage of genes	Percentage of genes	Percentage of genes
'0	0.0	0.0	0.0
'1	29.0	85.9	87.1
'2	15.3	7.6	7.3
'3	4.8	0.9	0.6
'4	2.0	0.0	0.0
'5	1.4	0.0	0.0
'6	1.4	0.6	0.6
'7	1.0	0.0	0.0
'8	0.4	0.0	0.0
'9	0.0	0.0	0.0
'10	0.0	0.0	0.0
11-15	1.1	0.0	0.0
16-20	0.0	0.0	0.0
21-50	4.5	0.0	0.0
51-100	0.0	0.0	0.0
101-150	0.0	0.0	0.0
151-200	0.0	0.0	0.0
201-500	0.0	0.0	0.0
501-1000	0.0	0.0	0.0
'1001+	0.0	0.0	0.0
