Orthogroup	crunogenapep	magnificapep	okutaniipep	Total
OG0000000	41	0	0	41
OG0000001	21	5	5	31
OG0000002	21	0	0	21
OG0000003	17	0	0	17
OG0000004	14	0	0	14
OG0000005	11	0	0	11
OG0000006	6	2	3	11
OG0000007	8	1	1	10
OG0000008	6	2	2	10
OG0000009	7	1	1	9
OG0000010	3	3	3	9
OG0000011	5	1	2	8
OG0000012	7	1	0	8
OG0000013	3	3	2	8
OG0000014	4	2	2	8
OG0000015	2	2	2	6
OG0000016	2	2	2	6
OG0000017	2	2	2	6
OG0000018	3	2	1	6
OG0000019	2	2	2	6
OG0000020	2	2	2	6
OG0000021	2	2	2	6
OG0000022	2	2	2	6
OG0000023	2	2	2	6
OG0000024	2	2	2	6
OG0000025	2	2	2	6
OG0000026	6	0	0	6
OG0000027	2	2	2	6
OG0000028	2	2	2	6
OG0000029	2	2	2	6
OG0000030	2	2	2	6
OG0000031	4	1	1	6
OG0000032	4	1	1	6
OG0000033	6	0	0	6
OG0000034	2	2	2	6
OG0000035	5	1	0	6
OG0000036	3	1	1	5
OG0000037	3	1	1	5
OG0000038	3	1	1	5
OG0000039	5	0	0	5
OG0000040	2	2	1	5
OG0000041	2	2	1	5
OG0000042	3	1	1	5
OG0000043	5	0	0	5
OG0000044	5	0	0	5
OG0000045	1	2	2	5
OG0000046	3	1	1	5
OG0000047	2	2	1	5
OG0000048	3	1	1	5
OG0000049	3	1	1	5
OG0000050	3	1	1	5
OG0000051	3	1	1	5
OG0000052	3	1	1	5
OG0000053	3	1	1	5
OG0000054	5	0	0	5
OG0000055	2	1	1	4
OG0000056	2	1	1	4
OG0000057	2	1	1	4
OG0000058	4	0	0	4
OG0000059	2	1	1	4
OG0000060	2	1	1	4
OG0000061	4	0	0	4
OG0000062	2	1	1	4
OG0000063	2	1	1	4
OG0000064	2	1	1	4
OG0000065	2	1	1	4
OG0000066	4	0	0	4
OG0000067	2	1	1	4
OG0000068	4	0	0	4
OG0000069	2	1	1	4
OG0000070	2	1	1	4
OG0000071	2	1	1	4
OG0000072	1	2	1	4
OG0000073	2	1	1	4
