Orthogroup	crunogenapep	magnificapep	okutaniipep
OG0000000	ABB40618, ABB40625, ABB40686, ABB40705, ABB40748, ABB40762, ABB40793, ABB40796, ABB40804, ABB40823, ABB40975, ABB40976, ABB40993, ABB41053, ABB41096, ABB41372, ABB41381, ABB41457, ABB41616, ABB41657, ABB41675, ABB41684, ABB41703, ABB41738, ABB41745, ABB41817, ABB41892, ABB41972, ABB41999, ABB42172, ABB42365, ABB42412, ABB42443, ABB42510, ABB42521, ABB42527, ABB42598, ABB42614, ABB42638, ABB42719, ABB42778		
OG0000001	ABB40629, ABB40725, ABB40776, ABB41029, ABB41135, ABB41146, ABB41172, ABB41176, ABB41568, ABB41574, ABB41579, ABB41729, ABB41750, ABB41768, ABB41780, ABB42380, ABB42515, ABB42669, ABB42675, ABB42676, ABB42736	ABL01877, ABL02442, ABL02562, ABL02669, ABL02687	BAF61219, BAF61770, BAF61877, BAF61967, BAF61984
OG0000002	ABB40601, ABB40632, ABB40729, ABB40731, ABB40784, ABB40791, ABB40798, ABB41137, ABB41344, ABB41350, ABB41354, ABB41502, ABB41564, ABB41634, ABB41690, ABB41798, ABB42036, ABB42038, ABB42501, ABB42767, ABB42775		
OG0000003	ABB40602, ABB40663, ABB40822, ABB41067, ABB41138, ABB41501, ABB41563, ABB41635, ABB41636, ABB41797, ABB41978, ABB42037, ABB42503, ABB42514, ABB42658, ABB42768, ABB42777		
OG0000004	ABB40624, ABB40674, ABB40957, ABB41149, ABB41166, ABB41170, ABB41355, ABB41373, ABB41989, ABB42028, ABB42487, ABB42574, ABB42589, ABB42594		
OG0000005	ABB40605, ABB40654, ABB40839, ABB41051, ABB42021, ABB42124, ABB42295, ABB42370, ABB42448, ABB42590, ABB42684		
OG0000006	ABB41375, ABB41543, ABB41610, ABB42473, ABB42586, ABB42599	ABL01922, ABL02652	BAF61266, BAF61949, BAF61975
OG0000007	ABB40653, ABB40838, ABB41050, ABB41121, ABB41728, ABB42123, ABB42296, ABB42591	ABL02297	BAF61619
OG0000008	ABB40875, ABB41251, ABB41300, ABB41923, ABB41965, ABB42300	ABL01872, ABL02107	BAF61214, BAF61437
OG0000009	ABB41318, ABB41538, ABB41660, ABB42371, ABB42513, ABB42550, ABB42699	ABL02733	BAF62029
OG0000010	ABB41775, ABB41794, ABB42253	ABL02149, ABL02342, ABL02386	BAF61663, BAF61704, BAF61717
OG0000011	ABB40634, ABB41453, ABB41751, ABB41752, ABB42628	ABL02428	BAF61238, BAF61751
OG0000012	ABB40651, ABB41021, ABB41022, ABB41448, ABB42147, ABB42592, ABB42773	ABL02692	
OG0000013	ABB40803, ABB41317, ABB42111	ABL02037, ABL02417, ABL02520	BAF61735, BAF61837
OG0000014	ABB41769, ABB41998, ABB42198, ABB42353	ABL02257, ABL02347	BAF61580, BAF61668
OG0000015	ABB40609, ABB40960	ABL01807, ABL02315	BAF61142, BAF61637
OG0000016	ABB40723, ABB41980	ABL02232, ABL02448	BAF61558, BAF61777
OG0000017	ABB40779, ABB42112	ABL02074, ABL02331	BAF61409, BAF61653
OG0000018	ABB40861, ABB41301, ABB41784	ABL01913, ABL02244	BAF61256
OG0000019	ABB40862, ABB41311	ABL02272, ABL02530	BAF61595, BAF61846
OG0000020	ABB40877, ABB40889	ABL01955, ABL02539	BAF61297, BAF61855
OG0000021	ABB40980, ABB41786	ABL02080, ABL02084	BAF61413, BAF61417
OG0000022	ABB40985, ABB41321	ABL02072, ABL02459	BAF61407, BAF61788
OG0000023	ABB41010, ABB41707	ABL02512, ABL02624	BAF61828, BAF61924
OG0000024	ABB41066, ABB41977	ABL02134, ABL02718	BAF61466, BAF62013
